date,album,artist,first_week,certification
2004-02-10,The College Dropout,Kanye West,441,3
2005-06-06,X&Y,Coldplay,464.5,3
2005-08-30,Late Registration,Kanye West,816,3
2008-05-25,Viva La Vida,Coldplay,350,2
2012-09-04,Night Visions,Imagine Dragons,83,2
2017-06-23,Evolve,Imagine Dragons,147,2
2013-03-22,Native,OneRepublic,60,1
2009-09-08,The Blueprint 3,Jay-Z,476,1
2011-08-08,Watch the Throne,"Jay-Z, Kanye West",436,1
2013-07-04,Magna Carta Holy Grail,Jay-Z,528,2
2010-11-12,Loud,Rihanna,207,3
2012-11-19,Unapologetic,Rihanna,238,3
2016-01-27,Anti,Rihanna,166,3
2008-06-10,Tha Carter III,Lil Wayne,1006,3
2011-08-29,Tha Carter IV,Lil Wayne,964,2
2016-11-25,Starboy,The Weeknd,348,2
2012-11-13,Trilogy,The Weeknd,86,2
2015-08-28,Beauty Behind the Madness,The Weeknd,412,3
2013-06-18,Yeezus,Kanye West,327,1
2016-02-14,The Life of Pablo,Kanye West,94,1
2016-12-09,Stoney,Post Malone,58,3
2018-04-27,Beerbongs & Bentleys,Post Malone,461,2
2017-06-02,Hopeless Fountain Kingdom,Halsey,106,1
2014-08-29,V,Maroon 5,164,3
