"artist","album","release_date","tracks","album_type","markets","target"
"Boosie Badazz","In My Feelings. (Goin' Thru It)",2016-01-01,10,"album",65,0
"Famous Dex","Drippy",2016-01-02,10,"album",65,0
"Krallice","Hyperion EP",2015-03-27,4,"single",65,1
"OG Maco","The Lord of Rage",2016-01-01,9,"album",65,0
"Rachel Platten","Wildfire",2016-01-01,12,"album",65,0
"Rebelle","Rebelle EP",2017-12-13,5,"single",65,0
"Rowdy Rebel","Shmoney Keeps Calling",2016-01-08,18,"album",65,0
"The Hunna","We Could Be",2017-05-12,5,"single",65,0
"Cozz","Nothin Personal",2018-06-26,1,"single",65,0
"Lady Leshurr","Queen's Speech EP",2016-01-01,6,"single",65,0
"White Spot","I Had The Best For A Little While",2016-01-15,7,"album",65,1
"Alexandria","Promise EP",2018-09-07,5,"single",65,0
"Allan Kingdom","Northern Lights",2016-10-14,15,"album",65,0
"Kristinia DeBarge","Thinkin Out Loud",2016-01-07,8,"album",65,0
"Bob Margolin","My Road",2009-01-01,54,"album",65,0
"Conrad Sewell","All I Know",2018-05-07,20,"album",65,0
"Dave Malloy","Preludes (Original Cast Recording)",2016-01-08,15,"album",65,0
"David Bowie","Blackstar",2016-01-08,7,"album",65,0
"Exmortus","Ride Forth",2016-01-08,9,"album",65,0
"Grizfolk","Waking Up The Giants",2015-12-04,12,"album",65,0
"Hinds","Leave Me Alone",2018-09-04,1,"single",65,0
"KSIOlajideBT","Keep Up EP",2014-04-29,6,"single",65,0
"Lil Reese","300 Degrezz",2016-01-08,11,"album",65,0
"Marshmello","Joytime",2016-01-08,10,"album",65,0
"Ron Pope","Ron Pope & the Nighthawks",2008-05-04,10,"album",65,0
"Sea Pinks","Soft Days",2016-01-08,11,"album",65,0
"The Grascals","And Then There's This...",2016-08-01,12,"album",65,0
"Villagers","Where Have You Been All My Life?",2016-01-08,12,"album",65,0
"Tapestry","Growth",2017-08-23,9,"album",65,1
"Safehaven","I'll See You in My Sleep",2016-01-11,6,"single",65,0
"Casey Mecija","Psychic Materials",2016-01-12,8,"album",65,0
"Fat Trel & ManeMane 4CGG","Finesse Gang",2015-12-14,10,"album",65,1
"Mike Stud","These Days",2018-01-19,1,"single",65,0
"Lostboycrow","Sigh For Me",2016-01-15,5,"single",65,1
"Anderson .Paak","Malibu",2018-10-05,9,"album",65,0
"Baaba Maal","The Traveller",2017-07-14,13,"album",65,0
"Bloodiest","Bloodiest",2016-01-15,8,"album",65,1
"Brainstorm","Scary Creatures",2016-01-15,10,"album",65,1
"Brothers Osborne","Pawn Shop",2016-01-15,11,"album",65,1
"Charles Lloyd & The Marvels","I Long To See You",2016-01-15,10,"album",65,1
"Classified","Greatful",2016-01-15,16,"album",65,1
"Daughter","Not to Disappear",2016-01-15,10,"album",65,1
"Daz & Snoop","Cuzznz",2016-01-15,14,"album",65,1
"Dylan LeBlanc","Cautionary Tale",2016-01-15,10,"album",65,1
"Garrett Klahn","Garrett Klahn",2016-01-15,10,"album",65,1
"Guy Blakeslee","The Middle Sister",2016-01-15,6,"album",65,1
"Jesus Culture","Let It Echo (Live)",2016-01-15,12,"album",65,1
"Julia Brown","An Abundance of Strawberries",2016-01-15,13,"album",65,1
"Keys N Krates","Midnite Mass EP",2016-06-17,6,"single",65,0
"Kidz Bop Kids","Kidz Bop 31",2016-01-15,15,"album",65,1
"Lecrae","Church Clothes 3",2016-01-15,10,"album",65,1
"Lewis Del Mar","EP",2018-02-23,5,"single",65,0
"Lycus","Chasms",2010-09-28,12,"album",65,0
"Majical Cloudz","Wait & See EP",2018-01-26,1,"single",65,0
"Mass Appeal","Rubble Kings (Original Music Inspired by the Documentary",2016-01-15,13,"compilation",65,1
"Miloš Karadaglic","Blackbird: The Beatles Album",2016-01-15,15,"album",65,1
"Molly Drag","Tethered Rendering",2016-01-15,10,"album",65,1
"Mystery Jets","Curve of the Earth",2016-01-15,9,"album",65,1
"Opprobrium","Serpent Temptation",2016-01-15,12,"album",65,1
"Panic! At the Disco","Death Of A Bachelor",2016-01-15,11,"album",65,1
"Phall Fatale","Moonlit Bang Bang!",2016-01-15,12,"album",65,1
"Pham","Movements",2017-10-20,11,"album",65,0
"Raffi","Owl Singalong",2016-01-01,16,"album",65,0
"Randy Rogers Band","Nothing Shines Like Neon",2016-01-15,11,"album",65,1
"Ricky Dillon","GOLD",2005-01-01,40,"album",65,0
"The Reform Club","Never Yesterday",2011-08-02,12,"album",65,0
"The Temperance Movement","White Bear",2016-07-15,12,"album",65,0
"Torae","Entitled",2015-05-16,7,"album",65,1
"Vocalosity","Vocalosity",2016-01-15,13,"album",65,1
"Wall","Wall EP",2017-11-10,5,"single",65,1
"Willamette","Diminished Composition",2015-12-01,9,"album",65,0
"Witchcraft","Nucleus",2018-02-13,2,"single",65,0
"Meek Mill","4/4",2018-04-20,16,"album",65,1
"Cadell","Hotline",2016-05-02,1,"single",65,0
"RetcH","Lean & Neck",2016-05-31,14,"album",65,0
"Curren$y","The Owners Manual",2005-08-16,30,"album",65,0
"Elijah Blake","Blueberry Vapors",2016-09-02,9,"album",65,0
"Mavis Staples","Livin' on a High Note",2016-02-19,12,"album",65,1
"Snow Roller","Another Step In Your Career Ladder",2014-02-14,4,"single",65,0
"Rockie Fresh","The Night I Went To...",2016-05-27,11,"album",65,0
"Abbath","Abbath",2016-01-22,10,"album",65,0
"Alex Smoke","Love Over Will",2016-01-22,13,"album",65,0
"Alex Vargas","Giving Up the Ghost EP",2016-01-15,4,"single",65,1
"Aoife O'Donovan","In the Magic Hour",2016-01-22,10,"album",65,0
"Borknagar","Winter Thrice",2016-01-22,8,"album",65,0
"Cait Brennan","Debutante",2016-04-15,13,"album",65,0
"Chairlift","Moth",2016-01-22,10,"album",65,0
"Charlie Hilton","Palana",2016-01-22,12,"album",65,0
"Conrad Keely","Original Machines",2016-01-22,24,"album",65,0
"Daniela Mercury","Virtual Vinyl",2016-01-22,15,"album",65,0
"Dickpunks","29,",2018-05-18,1,"single",65,0
"Dust","Agony Planet",2016-01-22,13,"album",65,0
"Eleanor Friedberger","New View",2016-01-22,11,"album",65,0
"Eliot Sumner","Information",2006-01-01,15,"album",65,0
"William McDowell","Sounds of Revival",2016-01-22,15,"album",65,0
"Abi Reimold – Wriggling","12/12",2017-12-08,12,"compilation",65,0
"Wanderers","Metamorphosis",2003-01-01,13,"album",65,1
"2 Chainz","Felt Like Cappin",2016-01-27,4,"single",65,0
"J. Cole","Forest Hills Drive: Live from Fayetteville, NC",2016-01-28,13,"album",65,0
"Massive Attack","Ritual Spirit",2016-01-28,4,"single",65,0
"PeeWee Longway","Mr. Blue Benjamin",2016-01-29,20,"album",65,0
"Rihanna","ANTi",2016-01-28,13,"album",65,0
"Anya Marina","Paper Plane",2016-01-29,12,"album",65,0
"Aubrie Sellers","New City Blues",2016-09-30,16,"album",65,0
"Avantasia","Ghostlights",2016-01-29,24,"album",65,0
"Basement"," Promise Everything ",2017-03-03,14,"album",65,1
"Benji Hughes","Songs in the Key of Animals",2016-01-29,12,"album",65,0
"Black Tusk","Pillars of Ash",2016-01-29,11,"album",65,0
"Buddy Miller","Cayamo Sessions At Sea",2016-01-29,11,"album",65,0
"Bury Tomorrow","Earthbound",2016-01-29,10,"album",65,0
"Casey Abrams & the Gingerbread Band","Tales From the Gingerbread House",2016-01-29,5,"single",65,0
"Cavo","Bridges",2018-05-04,10,"album",65,0
"Charlie Puth","Nine Track Mind",2016-01-29,12,"album",65,0
"Chthe'ilist","Le dernier crépuscule",2016-01-29,7,"album",65,0
"Dream Theater","The Astonishing",2016-01-29,34,"album",65,0
"Emily Wells","Promise",2017-09-29,12,"album",65,0
"Harriet","American Appetite",2016-01-29,12,"album",65,0
"John Dahlbäck","Saga",2017-05-23,3,"single",65,0
"Karsh Kale","Up",2018-09-07,13,"album",65,0
"Kevin Gates","Islah",2016-01-29,17,"album",65,0
"LASER","Night Driver",2008-10-17,11,"album",65,0
"Allegiance Original Broadway Cast","Allegiance (Original Broadway Cast Recording)",2016-01-29,26,"compilation",65,0
"Milk Teeth","Vile Child",2016-01-29,12,"album",65,0
"Miranda Lee Richards","Echoes of the Dreamtime",2016-01-29,8,"album",65,0
"Money","Suicide Songs",2017-11-08,12,"album",65,1
"Night Beats","Who Sold My Generation?",2016-01-29,12,"album",65,0
"Peppermint Heaven","Precious Things",2016-01-29,11,"album",65,0
"POP ETC","Souvenir",2017-03-24,11,"album",65,1
"Primal Fear","Rulebreaker",2016-01-29,13,"album",65,0
"Resurrection Kings","Resurrection Kings",2016-01-29,11,"album",65,0
"September Stories","Unopened Letter",2016-01-29,7,"album",65,0
"Serenity","Codex Atlanticus",2016-01-29,14,"album",65,0
"Sia","This Is Acting",2016-10-21,19,"album",65,0
"Sierra Hull","Weighted Mind",2016-01-01,12,"album",65,0
"Simo","Let Love Show the Way",2016-01-22,13,"album",65,0
"St. Lucia","Matter",2014-01-17,13,"album",65,0
"Tedeschi Trucks Band","Let Me Get By",2016-01-29,10,"album",65,0
"The Crookes","Lucky Ones",2004-01-01,12,"album",65,1
"Toothgrinder","Nocturnal Masquerade",2016-01-29,12,"album",65,0
"Tuff Love","Resort",2018-05-16,1,"single",65,0
"Turin Brakes","Lost Property",2016-01-29,11,"album",65,0
"Various Artists","Ultra Dance 2016",2016-03-13,46,"album",65,0
"Various Artists","WOW Gospel 2016",2016-01-29,30,"compilation",65,0
"Walking On Cars","Everything This Way",2016-01-29,12,"album",65,0
"Walter Martin","Arts & Leisure",2015-10-09,10,"album",65,0
"Wet","Don't You",2006-01-01,11,"album",65,0
"Wolfgang Gartner","10 Ways to Steal Home Plate",2016-09-09,10,"album",65,0
"Yanni","Sensuous Chill",2016-01-29,17,"album",65,0
"Meek Mill","4/4 Pt. 2",2015-10-01,20,"album",65,1
"TŸSHE","No Dreams",2018-09-14,11,"album",65,1
"Adesuwa – Air Light EP","5/5",2016-03-04,15,"album",65,0
"Audio Push","Inside The Vibe",2018-08-21,8,"album",65,0
"Nick Grant","'88",2018-08-22,11,"album",65,0
"Trill Sammy","RED Album (EP)",2013-06-23,6,"single",65,1
"4Minute","Act. 7",2016-02-01,5,"single",65,0
"Alan Cumming","Alan Cumming Sings Sappy Songs: Live at the Café Carlyle",2016-02-05,27,"album",65,0
"Anchor & Braille","Songs for the Late Night Drive Home",2016-02-05,10,"album",65,0
"Axel Rudi Pell","Game of Sins",2016-01-15,10,"album",65,1
"Banda Sinaloense MS de Sergio Lizarraga","Que Bendición",2016-02-05,13,"album",65,0
"Beacon","Escapements",2016-02-05,11,"album",65,0
"Boosie Badazz","Out My Feelings (In My Past)",2016-02-05,18,"album",65,0
"Breakbot","Still Waters",2016-02-05,13,"album",65,0
"Charles Kelley","The Driver",2016-02-05,9,"album",65,0
"DIIV","Is the Is Are",2016-02-05,17,"album",65,0
"Dressy Bessy","Kingsized",2016-02-05,13,"album",65,0
"Drowning Pool","Hellelujah",2016-02-05,13,"album",65,0
"Elevation Worship","Here as in Heaven",2016-02-05,13,"album",65,0
"Elton John","Wonderful Crazy Night",2016-02-05,12,"album",65,0
"Eryn Allen Kane","Aviary: Act II",2016-02-16,5,"single",65,1
"Escondido","Walking with a Stranger",2016-02-05,10,"album",65,0
"Field Music","Commontime",2016-02-05,14,"album",65,0
"Future","EVOL",2016-04-13,12,"album",65,0
"Gabriel Kahane & Brooklyn Rider","The Fiction Issue",2016-02-05,10,"album",65,0
"Hey Marseilles","Hey Marseilles",2016-02-05,11,"album",65,0
"Jason Collett","Song and Dance Man",2016-02-05,13,"album",65,0
"Junior Boys","Big Black Coat",2016-02-05,11,"album",65,0
"KING","We Are King",2016-02-05,12,"album",65,0
"King Mud","Victory Motel Sessions",2016-02-05,10,"album",65,0
"Leon Bridges","Coming Home (Deluxe)",2016-02-05,15,"album",65,0
"Lion Babe","Begin",2012-04-17,15,"album",65,1
"Tender","Tender EP II",2016-02-12,5,"single",65,1
"The Coffin Daggers","Aggravatin' Rhythms",2016-02-12,14,"album",65,1
"The Frights","You Are Going to Hate This",2016-02-12,10,"album",65,1
"The Jezabels","Synthia",2017-09-21,10,"album",65,0
"The Record Company","Give It Back to You",2016-01-01,10,"album",65,0
"The Suffers","The Suffers",2016-02-12,10,"album",65,1
"Ute Lemper","The 9 Secrets",2016-02-12,12,"album",65,1
"Various Artists","Vinyl (Music from the HBO Original Series, Vol. 1)",2016-02-12,18,"album",65,1
"Vince Gill","Down to My Last Bad Habit",2016-02-12,12,"album",65,1
"A Boogie Wit Da Hoodie","Artist",2016-09-16,11,"album",65,1
"Kanye West","The Life of Pablo",2016-06-10,20,"album",65,0
"Milk! Records","Good For You",2017-07-28,15,"album",65,0
"Mya","Smoove Jones",2016-02-23,12,"album",65,1
"ROZES","Burn Wild",2016-03-29,1,"single",65,0
"Ella Mai","Time EP",2018-08-24,4,"single",65,0
"Illenium","Ashes",2016-02-15,10,"album",65,0
"Eliza and the Bear","Eliza and the Bear",2016-04-08,11,"album",65,0
"YNF Lucci","Wish Me Well 2",2017-06-09,18,"album",65,1
"Kirko Bangz","Playa Made",2018-08-16,1,"single",65,1
"Adept","Sleepless",2018-03-12,5,"single",65,0
"After The Burial","Dig Deep",2016-02-19,9,"album",65,1
"Animal Collective","Painting With",2016-09-09,14,"album",65,0
"Astronautalis","Sike!",2016-02-19,7,"album",65,1
"BJ The Chicago Kid","In My Mind",2018-06-08,1,"single",65,0
"Blowfly","77 Rusty Trombones",2016-02-19,13,"album",65,1
"Byrne and Kelly","Echoes",2007-09-25,12,"album",65,0
"Crazy Ex-Girlfriend Cast","Crazy Ex-Girlfriend: Original Television Soundtrack (Season 1",2016-06-10,101,"album",65,0
"Delain","Lunar Prelude",2016-02-19,8,"album",65,1
"Doug Tuttle","It Calls on Me",2016-02-19,9,"album",65,1
"Factory Brains","Hard Labor",2011-01-01,9,"album",65,0
"Feels","Feels",2017-10-20,13,"album",65,0
"French Montana","Wave Gods",2017-05-21,1,"single",65,0
"Glen Hansard","A Season on the Line",2016-02-19,4,"single",65,1
"Golden Daze","Golden Daze",2016-11-21,4,"single",65,0
"Hilltop Hoods","Drinking From The Sun, Walking Under Stars Restrung",2016-02-19,19,"album",65,1
