"artist","album","release_date","tracks","album_type","markets"
"Boosie Badazz","In My Feelings. (Goin' Thru It)","2016-01-01",10,"album",65
"Famous Dex","Drippy","2016-01-02",10,"album",65
"Krallice","Hyperion EP","2015-03-27",4,"single",65
"OG Maco","The Lord of Rage","2016-01-01",9,"album",65
"Rachel Platten","Wildfire","2016-01-01",12,"album",65
"Rebelle","Rebelle EP","2017-12-13",5,"single",65
"Rowdy Rebel","Shmoney Keeps Calling","2016-01-08",18,"album",65
"The Hunna","We Could Be","2017-05-12",5,"single",65
"Cozz","Nothin Personal","2018-06-26",1,"single",65
"Lady Leshurr","Queen's Speech EP","2016-01-01",6,"single",65
"White Spot","I Had The Best For A Little While","2016-01-15",7,"album",65
"Alexandria","Promise EP","2018-09-07",5,"single",65
"Allan Kingdom","Northern Lights","2016-10-14",15,"album",65
"Kristinia DeBarge","Thinkin Out Loud","2016-01-07",8,"album",65
"Bob Margolin","My Road","2009-01-01",54,"album",65
"Conrad Sewell","All I Know","2018-05-07",20,"album",65
"Dave Malloy","Preludes (Original Cast Recording)","2016-01-08",15,"album",65
"David Bowie","Blackstar","2016-01-08",7,"album",65
"Exmortus","Ride Forth","2016-01-08",9,"album",65
"Grizfolk","Waking Up The Giants","2015-12-04",12,"album",65
"Hinds","Leave Me Alone","2018-09-04",1,"single",65
"KSIOlajideBT","Keep Up EP","2014-04-29",6,"single",65
"Lil Reese","300 Degrezz","2016-01-08",11,"album",65
"Marshmello","Joytime","2016-01-08",10,"album",65
"Ron Pope","Ron Pope & the Nighthawks","2008-05-04",10,"album",65
"Sea Pinks","Soft Days","2016-01-08",11,"album",65
"The-Dream","Genesis","2016-03-25",12,"album",65
"The Grascals","And Then There's This...","2016-08-01",12,"album",65
"Villagers","Where Have You Been All My Life?","2016-01-08",12,"album",65
"Tapestry","Growth","2017-08-23",9,"album",65
"Safehaven","I'll See You in My Sleep","2016-01-11",6,"single",65
"Casey Mecija","Psychic Materials","2016-01-12",8,"album",65
"Fat Trel & ManeMane 4CGG","Finesse Gang","2015-12-14",10,"album",65
"Mike Stud","These Days","2018-01-19",1,"single",65
"Lostboycrow","Sigh For Me","2016-01-15",5,"single",65
"Anderson .Paak","Malibu","2018-10-05",9,"album",65
"Baaba Maal","The Traveller","2017-07-14",13,"album",65
"Bloodiest","Bloodiest","2016-01-15",8,"album",65
"Brainstorm","Scary Creatures","2016-01-15",10,"album",65
"Brothers Osborne","Pawn Shop","2016-01-15",11,"album",65
"Celtic Woman","Destiny","1999-07-26",16,"album",65
"Charles Lloyd & The Marvels","I Long To See You","2016-01-15",10,"album",65
"Classified","Greatful","2016-01-15",16,"album",65
"Daughter","Not to Disappear","2016-01-15",10,"album",65
"Daz & Snoop","Cuzznz","2016-01-15",14,"album",65
"Dylan LeBlanc","Cautionary Tale","2016-01-15",10,"album",65
"Garrett Klahn","Garrett Klahn","2016-01-15",10,"album",65
"Guy Blakeslee","The Middle Sister","2016-01-15",6,"album",65
"Hank Williams Jr.","It's About Time","1992-10-27",15,"album",65
"Jesus Culture","Let It Echo (Live)","2016-01-15",12,"album",65
"Julia Brown","An Abundance of Strawberries","2016-01-15",13,"album",65
"Keys N Krates","Midnite Mass EP","2016-06-17",6,"single",65
"Kidz Bop Kids","Kidz Bop 31","2016-01-15",15,"album",65
"Lecrae","Church Clothes 3","2016-01-15",10,"album",65
"Lewis Del Mar","EP","2018-02-23",5,"single",65
"Lycus","Chasms","2010-09-28",12,"album",65
"Majical Cloudz","Wait & See EP","2018-01-26",1,"single",65
"Mass Appeal","Rubble Kings (Original Music Inspired by the Documentary","2016-01-15",13,"compilation",65
"Miloš Karadaglic","Blackbird: The Beatles Album","2016-01-15",15,"album",65
"Molly Drag","Tethered Rendering","2016-01-15",10,"album",65
"Mystery Jets","Curve of the Earth","2016-01-15",9,"album",65
"Opprobrium","Serpent Temptation","2016-01-15",12,"album",65
"Panic! At the Disco","Death Of A Bachelor","2016-01-15",11,"album",65
"Phall Fatale","Moonlit Bang Bang!","2016-01-15",12,"album",65
"Pham","Movements","2017-10-20",11,"album",65
"Raffi","Owl Singalong","2016-01-01",16,"album",65
"Randy Rogers Band","Nothing Shines Like Neon","2016-01-15",11,"album",65
"Ricky Dillon","GOLD","2005-01-01",40,"album",65
"The Reform Club","Never Yesterday","2011-08-02",12,"album",65
"The Temperance Movement","White Bear","2016-07-15",12,"album",65
"Torae","Entitled","2015-05-16",7,"album",65
"Vocalosity","Vocalosity","2016-01-15",13,"album",65
"Wall","Wall EP","2017-11-10",5,"single",65
"Willamette","Diminished Composition","2015-12-01",9,"album",65
"Witchcraft","Nucleus","2018-02-13",2,"single",65
"Meek Mill","4/4","2018-04-20",16,"album",65
"Cadell","Hotline","2016-05-02",1,"single",65
"Future","Purple Reign","2018-10-29",1,"single",65
"RetcH","Lean & Neck","2016-05-31",14,"album",65
"Curren$y","The Owners Manual","2005-08-16",30,"album",65
"Elijah Blake","Blueberry Vapors","2016-09-02",9,"album",65
"Mavis Staples","Livin' on a High Note","2016-02-19",12,"album",65
"Snow Roller","Another Step In Your Career Ladder","2014-02-14",4,"single",65
"Rockie Fresh","The Night I Went To...","2016-05-27",11,"album",65
"Abbath","Abbath","2016-01-22",10,"album",65
"Agoraphobic Nosebleed","Arc","2018-11-02",1,"single",65
"Alex Smoke","Love Over Will","2016-01-22",13,"album",65
"Alex Vargas","Giving Up the Ghost EP","2016-01-15",4,"single",65
"Aoife O'Donovan","In the Magic Hour","2016-01-22",10,"album",65
"Borknagar","Winter Thrice","2016-01-22",8,"album",65
"Cait Brennan","Debutante","2016-04-15",13,"album",65
"Chairlift","Moth","2016-01-22",10,"album",65
"Charlie Hilton","Palana","2016-01-22",12,"album",65
"Coasts","Coasts","2016-03-25",16,"album",65
"Conrad Keely","Original Machines","2016-01-22",24,"album",65
"Daniela Mercury","Virtual Vinyl","2016-01-22",15,"album",65
"Dickpunks","29,","2018-05-18",1,"single",65
"Dust","Agony Planet","2016-01-22",13,"album",65
"Eleanor Friedberger","New View","2016-01-22",11,"album",65
"Eliot Sumner","Information","2006-01-01",15,"album",65
"William McDowell","Sounds of Revival","2016-01-22",15,"album",65
"Abi Reimold – Wriggling","12/12","2017-12-08",12,"compilation",65
"Wanderers","Metamorphosis","2003-01-01",13,"album",65
"2 Chainz","Felt Like Cappin","2016-01-27",4,"single",65
"J. Cole","Forest Hills Drive: Live from Fayetteville, NC","2016-01-28",13,"album",65
"Massive Attack","Ritual Spirit","2016-01-28",4,"single",65
"PeeWee Longway","Mr. Blue Benjamin","2016-01-29",20,"album",65
"Rihanna","ANTi","2016-01-28",13,"album",65
"Anya Marina","Paper Plane","2016-01-29",12,"album",65
"Aubrie Sellers","New City Blues","2016-09-30",16,"album",65
"Avantasia","Ghostlights","2016-01-29",24,"album",65
"Basement"," Promise Everything ","2017-03-03",14,"album",65
"Benji Hughes","Songs in the Key of Animals","2016-01-29",12,"album",65
"Bill Frisell","When You Wish Upon a Star","1991-07-01",10,"album",65
"Black Tusk","Pillars of Ash","2016-01-29",11,"album",65
"Bloc Party","HYMNS","1997-09-29",13,"album",65
"Buddy Miller","Cayamo Sessions At Sea","2016-01-29",11,"album",65
"Bury Tomorrow","Earthbound","2016-01-29",10,"album",65
"Casey Abrams & the Gingerbread Band","Tales From the Gingerbread House","2016-01-29",5,"single",65
"Cavo","Bridges","2018-05-04",10,"album",65
"Charlie Puth","Nine Track Mind","2016-01-29",12,"album",65
"Chthe'ilist","Le dernier crépuscule","2016-01-29",7,"album",65
"Dianna Corcoran","In America","1979-03-29",22,"album",65
"Dream Theater","The Astonishing","2016-01-29",34,"album",65
"Emily Wells","Promise","2017-09-29",12,"album",65
"Florist – The Birds Outside Sang","11/11","1993-05-25",20,"album",65
"Harriet","American Appetite","2016-01-29",12,"album",65
"John Dahlbäck","Saga","2017-05-23",3,"single",65
"Karsh Kale","Up","2018-09-07",13,"album",65
